X,Y, 
47.21873, 39.70275, 
47.21853, 39.70284, 
47.21833, 39.70294, 
47.21807, 39.70304, 
47.21782, 39.70315, 
47.21760, 39.70325, 
47.21737, 39.70336, 
47.21715, 39.70346, 
47.21693, 39.70355, 
47.21670, 39.70366, 
47.21647, 39.70377, 
47.21629, 39.70385, 
47.21611, 39.70393, 
47.21601, 39.70398, 
47.21591, 39.70402, 
47.21601, 39.70451, 
47.21612, 39.70501, 
47.21619, 39.70535, 
47.21627, 39.70570, 
47.21635, 39.70606, 
47.21642, 39.70642, 
47.21651, 39.70681, 
47.21659, 39.70720, 
47.21666, 39.70747, 
47.21672, 39.70774, 
47.21679, 39.70806, 
47.21685, 39.70837, 
47.21692, 39.70864, 
47.21698, 39.70891, 
47.21670, 39.70902, 
47.21642, 39.70913, 
47.21618, 39.70922, 
47.21594, 39.70932, 
47.21604, 39.70978, 
47.21614, 39.71025, 
47.21620, 39.71056, 
47.21626, 39.71087, 
47.21632, 39.71117, 
47.21638, 39.71147, 
47.21645, 39.71179, 
47.21651, 39.71212, 
47.21659, 39.71251, 
47.21666, 39.71290, 
47.21672, 39.71321, 
47.21678, 39.71351, 
47.21683, 39.71377, 
47.21689, 39.71403, 
47.21696, 39.71443, 
47.21703, 39.71483, 
47.21712, 39.71525, 
47.21720, 39.71567, 
47.21727, 39.71602, 
47.21733, 39.71636, 
47.21740, 39.71668, 
47.21746, 39.71699, 
47.21751, 39.71726, 
47.21757, 39.71752, 
47.21763, 39.71779, 
47.21769, 39.71807, 
47.21778, 39.71849, 
47.21787, 39.71892, 
47.21795, 39.71925, 
47.21802, 39.71958, 
47.21804, 39.71969, 
47.21807, 39.71981, 
47.21808, 39.71987, 
47.21810, 39.71993, 
47.21812, 39.72003, 
47.21814, 39.72013, 
47.21815, 39.72019, 
47.21816, 39.72025, 
47.21819, 39.72037, 
47.21822, 39.72048, 
47.21813, 39.72052, 
47.21804, 39.72057, 
47.21798, 39.72059, 
47.21792, 39.72061, 
47.21787, 39.72063, 
47.21781, 39.72065, 
47.21776, 39.72068, 
47.21771, 39.72070, 
47.21767, 39.72072, 
47.21762, 39.72075, 
47.21756, 39.72078, 
47.21751, 39.72082, 
47.21746, 39.72085, 
47.21740, 39.72087, 
47.21735, 39.72090, 
47.21730, 39.72093, 
47.21723, 39.72097, 
47.21716, 39.72101, 
47.21711, 39.72103, 
47.21707, 39.72105, 
47.21702, 39.72108, 
47.21697, 39.72111, 
47.21693, 39.72112, 
47.21689, 39.72114, 
47.21685, 39.72116, 
47.21681, 39.72118, 
47.21675, 39.72121, 
47.21670, 39.72124, 
47.21664, 39.72127, 
47.21659, 39.72130, 
47.21654, 39.72132, 
47.21649, 39.72134, 
47.21643, 39.72136, 
47.21638, 39.72139, 
47.21634, 39.72141, 
47.21631, 39.72142, 
47.21625, 39.72145, 
47.21620, 39.72147, 
47.21614, 39.72150, 
47.21607, 39.72153, 
47.21602, 39.72155, 
47.21597, 39.72157, 
47.21592, 39.72160, 
47.21587, 39.72162, 
47.21583, 39.72164, 
47.21580, 39.72165, 
47.21573, 39.72169, 
47.21565, 39.72172, 
47.21561, 39.72174, 
47.21557, 39.72176, 
47.21552, 39.72179, 
47.21547, 39.72181, 
47.21541, 39.72184, 
47.21535, 39.72186, 
47.21530, 39.72189, 
47.21525, 39.72192, 
47.21520, 39.72194, 
47.21515, 39.72196, 
47.21510, 39.72199, 
47.21504, 39.72201, 
47.21497, 39.72205, 
47.21490, 39.72208, 
47.21486, 39.72210, 
47.21481, 39.72212, 
47.21476, 39.72214, 
47.21470, 39.72217, 
47.21464, 39.72219, 
47.21459, 39.72222, 
47.21453, 39.72225, 
47.21447, 39.72227, 
47.21442, 39.72230, 
47.21437, 39.72232, 
47.21432, 39.72234, 
47.21428, 39.72236, 
47.21422, 39.72239, 
47.21416, 39.72241, 
47.21410, 39.72244, 
47.21404, 39.72247, 
47.21398, 39.72250, 
47.21392, 39.72253, 
47.21386, 39.72255, 
47.21380, 39.72258, 
47.21373, 39.72261, 
47.21366, 39.72265, 
47.21360, 39.72267, 
47.21354, 39.72270, 
47.21347, 39.72273, 
47.21341, 39.72276, 
47.21336, 39.72279, 
47.21331, 39.72281, 
47.21325, 39.72284, 
47.21319, 39.72287, 
47.21313, 39.72289, 
47.21308, 39.72292, 
47.21300, 39.72296, 
47.21293, 39.72299, 
47.21287, 39.72302, 
47.21281, 39.72305, 
47.21275, 39.72308, 
47.21269, 39.72311, 
47.21261, 39.72314, 
47.21254, 39.72318, 
47.21249, 39.72320, 
47.21244, 39.72323, 
47.21237, 39.72325, 
47.21231, 39.72328, 
47.21222, 39.72332, 
47.21213, 39.72337, 
47.21209, 39.72338, 
47.21204, 39.72340, 
47.21199, 39.72343, 
47.21193, 39.72345, 
47.21187, 39.72348, 
47.21181, 39.72351, 
47.21177, 39.72353, 
47.21172, 39.72356, 
47.21164, 39.72359, 
47.21157, 39.72362, 
47.21151, 39.72365, 
47.21146, 39.72367, 
47.21139, 39.72370, 
47.21132, 39.72374, 
47.21127, 39.72376, 
47.21121, 39.72379, 
47.21116, 39.72381, 
47.21111, 39.72384, 
47.21105, 39.72386, 
47.21100, 39.72389, 
47.21093, 39.72392, 
47.21086, 39.72395, 
47.21081, 39.72397, 
47.21076, 39.72399, 
47.21071, 39.72402, 
47.21065, 39.72404, 
47.21060, 39.72406, 
47.21054, 39.72409, 
47.21049, 39.72411, 
47.21043, 39.72413, 
47.21038, 39.72416, 
47.21032, 39.72418, 
47.21025, 39.72421, 
47.21018, 39.72424, 
47.21014, 39.72426, 
47.21009, 39.72428, 
47.21005, 39.72429, 
47.21002, 39.72431, 
47.20996, 39.72433, 
47.20989, 39.72436, 
47.20984, 39.72438, 
47.20978, 39.72440, 
47.20974, 39.72442, 
47.20970, 39.72444, 
47.20964, 39.72446, 
47.20958, 39.72449, 
47.20950, 39.72452, 
47.20942, 39.72456, 
47.20936, 39.72458, 
47.20931, 39.72460, 
47.20923, 39.72463, 
47.20916, 39.72466, 
47.20908, 39.72470, 
47.20901, 39.72473, 
47.20895, 39.72475, 
47.20890, 39.72478, 
47.20884, 39.72480, 
47.20877, 39.72483, 
47.20870, 39.72486, 
47.20863, 39.72489, 
47.20856, 39.72491, 
47.20850, 39.72494, 
47.20844, 39.72497, 
47.20838, 39.72499, 
47.20833, 39.72501, 
47.20828, 39.72503, 
47.20822, 39.72506, 
47.20816, 39.72508, 
47.20809, 39.72511, 
47.20802, 39.72514, 
47.20792, 39.72519, 
47.20782, 39.72524, 
47.20773, 39.72528, 
47.20763, 39.72533, 
47.20754, 39.72538, 
47.20744, 39.72542, 
47.20737, 39.72546, 
47.20731, 39.72549, 
47.20726, 39.72551, 
47.20722, 39.72553, 
47.20717, 39.72555, 
47.20713, 39.72557, 
47.20706, 39.72560, 
47.20699, 39.72563, 
47.20694, 39.72566, 
47.20689, 39.72569, 
47.20682, 39.72572, 
47.20675, 39.72575, 
47.20670, 39.72578, 
47.20666, 39.72580, 
47.20659, 39.72583, 
47.20652, 39.72586, 
47.20648, 39.72588, 
47.20643, 39.72590, 
47.20639, 39.72592, 
47.20634, 39.72594, 
47.20630, 39.72596, 
47.20627, 39.72598, 
47.20623, 39.72599, 
47.20619, 39.72601, 
47.20618, 39.72597, 
47.20617, 39.72593, 
47.20617, 39.72590, 
47.20616, 39.72587, 
47.20616, 39.72577, 
47.20616, 39.72567, 
47.20617, 39.72563, 
47.20618, 39.72558, 
47.20619, 39.72555, 
47.20620, 39.72552, 
47.20623, 39.72547, 
47.20627, 39.72543, 
