X,Y
47.21874, 39.70275
47.21866, 39.70278
47.21858, 39.70282
47.21852, 39.70285
47.21846, 39.70288
47.21838, 39.70291
47.21830, 39.70295
47.21824, 39.70298
47.21817, 39.70300
47.21805, 39.70306
47.21794, 39.70311
47.21784, 39.70315
47.21775, 39.70320
47.21768, 39.70322
47.21760, 39.70325
47.21756, 39.70327
47.21751, 39.70329
47.21739, 39.70335
47.21726, 39.70341
47.21714, 39.70347
47.21701, 39.70353
47.21696, 39.70355
47.21692, 39.70358
47.21698, 39.70388
47.21705, 39.70418
47.21709, 39.70437
47.21713, 39.70457
47.21718, 39.70481
47.21723, 39.70505
47.21727, 39.70526
47.21732, 39.70546
47.21736, 39.70565
47.21740, 39.70583
47.21747, 39.70618
47.21754, 39.70653
47.21759, 39.70677
47.21764, 39.70701
47.21768, 39.70722
47.21772, 39.70742
47.21777, 39.70766
47.21782, 39.70791
47.21787, 39.70816
47.21792, 39.70841
47.21793, 39.70846
47.21794, 39.70851
47.21782, 39.70856
47.21770, 39.70861
47.21757, 39.70866
47.21744, 39.70872
47.21748, 39.70892
47.21752, 39.70913
47.21756, 39.70934
47.21760, 39.70955
47.21767, 39.70986
47.21774, 39.71017
47.21777, 39.71037
47.21781, 39.71057
47.21786, 39.71083
47.21792, 39.71109
47.21797, 39.71132
47.21802, 39.71155
47.21807, 39.71180
47.21813, 39.71206
47.21821, 39.71250
47.21830, 39.71294
47.21839, 39.71337
47.21848, 39.71380
47.21854, 39.71405
47.21859, 39.71429
47.21860, 39.71433
47.21860, 39.71437
47.21846, 39.71444
47.21831, 39.71451
47.21824, 39.71455
47.21816, 39.71458
47.21812, 39.71460
47.21808, 39.71461
47.21813, 39.71489
47.21819, 39.71516
47.21823, 39.71534
47.21827, 39.71551
47.21831, 39.71572
47.21835, 39.71593
47.21839, 39.71612
47.21844, 39.71632
47.21850, 39.71659
47.21855, 39.71686
47.21860, 39.71705
47.21864, 39.71724
47.21878, 39.71717
47.21893, 39.71710
47.21904, 39.71705
47.21915, 39.71700
47.21919, 39.71717
47.21922, 39.71734
47.21927, 39.71759
47.21933, 39.71784
47.21936, 39.71802
47.21940, 39.71820
47.21944, 39.71839
47.21948, 39.71858
47.21952, 39.71877
47.21956, 39.71896
47.21963, 39.71928
47.21969, 39.71960
47.21971, 39.71969
47.21973, 39.71977
47.21950, 39.71989
47.21926, 39.72000
47.21906, 39.72009
47.21887, 39.72018
47.21855, 39.72033
47.21822, 39.72048
47.21796, 39.72060
47.21769, 39.72071
47.21747, 39.72084
47.21725, 39.72096
47.21706, 39.72107
47.21686, 39.72117
47.21668, 39.72125
47.21649, 39.72134
47.21617, 39.72149
47.21585, 39.72164
47.21560, 39.72176
47.21536, 39.72187
47.21514, 39.72197
47.21493, 39.72207
47.21465, 39.72219
47.21438, 39.72232
47.21417, 39.72243
47.21396, 39.72253
47.21364, 39.72267
47.21333, 39.72281
47.21304, 39.72295
47.21275, 39.72309
47.21247, 39.72322
47.21218, 39.72336
47.21195, 39.72347
47.21171, 39.72358
47.21142, 39.72371
47.21113, 39.72384
47.21096, 39.72391
47.21080, 39.72399
47.21056, 39.72409
47.21032, 39.72419
47.20994, 39.72435
47.20955, 39.72450
47.20911, 39.72469
47.20866, 39.72488
47.20842, 39.72498
47.20817, 39.72508
47.20794, 39.72519
47.20771, 39.72530
47.20743, 39.72544
47.20715, 39.72558
47.20675, 39.72577
47.20635, 39.72596
47.20627, 39.72599
47.20619, 39.72602
47.20618, 39.72598
47.20617, 39.72594
47.20616, 39.72591
47.20615, 39.72588
47.20615, 39.72578
47.20615, 39.72568
47.20617, 39.72560
47.20619, 39.72552
47.20622, 39.72548
47.20625, 39.72545
