X,Y
47.21873, 39.70276
47.21867, 39.70279
47.21861, 39.70282
47.21857, 39.70284
47.21852, 39.70286
47.21849, 39.70287
47.21846, 39.70289
47.21842, 39.70291
47.21838, 39.70293
47.21835, 39.70294
47.21832, 39.70295
47.21829, 39.70296
47.21826, 39.70298
47.21823, 39.70299
47.21820, 39.70300
47.21816, 39.70302
47.21812, 39.70304
47.21808, 39.70306
47.21804, 39.70307
47.21800, 39.70309
47.21795, 39.70311
47.21792, 39.70312
47.21789, 39.70314
47.21784, 39.70316
47.21780, 39.70318
47.21770, 39.70323
47.21759, 39.70328
47.21752, 39.70331
47.21745, 39.70333
47.21720, 39.70345
47.21695, 39.70357
47.21694, 39.70357
47.21693, 39.70358
47.21699, 39.70386
47.21705, 39.70414
47.21707, 39.70428
47.21710, 39.70441
47.21716, 39.70472
47.21722, 39.70502
47.21728, 39.70530
47.21733, 39.70557
47.21737, 39.70571
47.21740, 39.70586
47.21743, 39.70600
47.21746, 39.70613
47.21749, 39.70632
47.21753, 39.70650
47.21758, 39.70673
47.21762, 39.70695
47.21766, 39.70715
47.21771, 39.70735
47.21774, 39.70752
47.21776, 39.70769
47.21780, 39.70783
47.21783, 39.70797
47.21786, 39.70814
47.21790, 39.70831
47.21792, 39.70841
47.21794, 39.70851
47.21789, 39.70853
47.21784, 39.70856
47.21779, 39.70858
47.21775, 39.70860
47.21772, 39.70861
47.21769, 39.70862
47.21761, 39.70865
47.21752, 39.70869
47.21748, 39.70870
47.21744, 39.70872
47.21745, 39.70880
47.21747, 39.70889
47.21749, 39.70901
47.21751, 39.70912
47.21755, 39.70930
47.21759, 39.70948
47.21763, 39.70970
47.21768, 39.70992
47.21772, 39.71011
47.21776, 39.71031
47.21779, 39.71046
47.21781, 39.71060
47.21785, 39.71079
47.21789, 39.71097
47.21792, 39.71107
47.21794, 39.71117
47.21796, 39.71129
47.21799, 39.71142
47.21800, 39.71147
47.21802, 39.71153
47.21802, 39.71154
47.21802, 39.71155
47.21805, 39.71168
47.21808, 39.71182
47.21810, 39.71193
47.21812, 39.71205
47.21814, 39.71212
47.21815, 39.71220
47.21818, 39.71233
47.21821, 39.71246
47.21825, 39.71265
47.21829, 39.71285
47.21833, 39.71304
47.21836, 39.71324
47.21848, 39.71378
47.21860, 39.71432
47.21865, 39.71457
47.21870, 39.71482
47.21878, 39.71522
47.21886, 39.71561
47.21891, 39.71586
47.21897, 39.71612
47.21906, 39.71654
47.21915, 39.71695
47.21923, 39.71735
47.21931, 39.71774
47.21938, 39.71809
47.21945, 39.71844
47.21950, 39.71867
47.21955, 39.71889
47.21958, 39.71908
47.21962, 39.71928
47.21967, 39.71948
47.21972, 39.71969
47.21972, 39.71973
47.21973, 39.71976
47.21962, 39.71981
47.21952, 39.71986
47.21930, 39.71996
47.21908, 39.72007
47.21888, 39.72016
47.21869, 39.72025
47.21830, 39.72044
47.21790, 39.72062
47.21762, 39.72077
47.21733, 39.72092
47.21703, 39.72108
47.21673, 39.72124
47.21649, 39.72135
47.21625, 39.72146
47.21598, 39.72159
47.21571, 39.72171
47.21539, 39.72186
47.21507, 39.72201
47.21476, 39.72215
47.21446, 39.72229
47.21416, 39.72243
47.21386, 39.72257
47.21357, 39.72270
47.21328, 39.72284
47.21291, 39.72302
47.21253, 39.72319
47.21227, 39.72331
47.21201, 39.72343
47.21171, 39.72357
47.21140, 39.72371
47.21116, 39.72383
47.21091, 39.72394
47.21069, 39.72403
47.21047, 39.72412
47.21019, 39.72425
47.20991, 39.72437
47.20969, 39.72446
47.20947, 39.72456
47.20921, 39.72467
47.20894, 39.72477
47.20871, 39.72487
47.20848, 39.72496
47.20826, 39.72505
47.20805, 39.72514
47.20795, 39.72519
47.20784, 39.72525
47.20765, 39.72534
47.20746, 39.72543
47.20728, 39.72552
47.20709, 39.72561
47.20678, 39.72576
47.20646, 39.72590
47.20632, 39.72596
47.20619, 39.72602
47.20617, 39.72595
47.20616, 39.72589
47.20615, 39.72581
47.20615, 39.72573
47.20616, 39.72568
47.20617, 39.72563
47.20618, 39.72558
47.20620, 39.72552
47.20623, 39.72548
